序号,干燥技术,运行模式标签,组合技术构成,切换含水率(%),适用药用部位,适用热敏等级,适用含水率区间(%),一段干燥温度(℃),一段干燥风速(m/s),一段目标含水率(%),二段干燥温度(℃),二段干燥风速(m/s),二段目标含水率(%),三段干燥温度(℃),三段干燥风速(m/s),三段目标含水率(%),干燥时间范围 (h),单位能耗(kWh/kg水),有效成分保留率(%),干燥均匀性偏差(%)
1,热泵干燥（HPD）,单机,—,—,根茎、花、叶、果皮、全草,中、高,15~85,45~60,1.0~2.0,35~50,40~50,0.5~1.5,按药典,—,—,—,2 ~ 20,0.25~0.30,70~85,<10
2,热风干燥（HAD）,单机,—,—,根茎、果皮为主,中、低,10~85,60~70,1.5~3.0,35~50,40~55,1.0~2.0,按药典,—,—,—,5 ~ 216,1.35~1.70,50~70,需查找
3,微波干燥（MD）,单机,—,—,根茎、块茎类,中、低,10~80,50~80,—,30~50,40~60,—,按药典,—,—,—,0.5 ~ 40,5.78,60~85,需查找
4,冷冻干燥（FD）,单机,—,—,花类、高价值药材,高、极高,5~95,-40~-30,—,85~90,-30~0,—,5~15,20~40,—,2~10,6 ~ 168,4.0~6.0,85~95,<5
5,真空干燥（VD）,单机,—,—,根茎、提取物,中、高,10~90,40~70,—,—,—,—,—,—,—,—,0.05 ~ 14,0.8~1.2,70~85,需查找
6,远红外干燥（FIR）,单机,—,—,花类、根茎类,中、高,10~85,50~60,0.5~1.5,30~50,—,—,—,—,—,—,3 ~ 15,0.9~1.2,70~85,较低
7,热泵-微波联合干燥,组合,热泵→微波,35~40,根茎、块茎类,中、高,10~85,45~50,1.0~2.0,35~40,50~60,—,按药典,—,—,—,0.5 ~ 8,0.30~0.40,75~85,需查找
8,热泵-远红外联合干燥,组合,热泵→远红外,50~55,花类、叶类,高,15~85,35~40,1.0~1.5,50~55,50~60,0.5~1.0,按药典,—,—,—,0.15 ~ 6,0.20~0.35,85~90,需查找
9,热风-热泵联合干燥,组合,热风→热泵,35~50,根茎、果皮类,中、低,10~85,60~70,1.5~3.0,35~50,40~50,0.5~1.5,按药典,—,—,—,2 ~ 12,0.35~0.50,65~80,需查找
